"Variable","T-Stats","Rezagos","1 %","5 %","10 %"
"EXP",1.849,8,-3.51,-2.89,-2.58
"IMP",2.079,8,-3.51,-2.89,-2.58
"PIB ARG",1.728,8,-3.51,-2.89,-2.58
"PIB SOC",-1.155,8,-3.51,-2.89,-2.58
"TCRM",-1.852,8,-3.51,-2.89,-2.58
