"Ecuacion","T_Estadistico","Valor_Critico_1","Valor_Critico_5","Valor_Critico_10","Cointegracion"
"Importaciones",-2.141,-2.6,-1.95,-1.61,"Sí (5%)"
"Exportaciones",-4.91,-2.6,-1.95,-1.61,"Sí (1%)"
