"Variable","Engle_Granger","Johansen","Validez_Johansen","Conclusion_Final"
"Importaciones","Sí (5%)","No","Indicativo","EVIDENCIA MIXTA"
"Exportaciones","Sí (1%)","No","Indicativo","EVIDENCIA MIXTA"
