"Sistema","Traza_r0","Valor_Critico_1","Valor_Critico_5","Valor_Critico_10","Cointegracion"
"Importaciones",2.096,12.97,9.24,7.52,"No"
"Exportaciones",1.69,12.97,9.24,7.52,"No"
