"Variable","T-Stats","Rezagos","1 %","5 %","10 %"
"EXP",0.185,8,-4.04,-3.45,-3.15
"IMP",0.478,8,-4.04,-3.45,-3.15
"PIB ARG",1.924,8,-4.04,-3.45,-3.15
"PIB SOC",-2.769,8,-4.04,-3.45,-3.15
"TCRM",-2.215,8,-4.04,-3.45,-3.15
