"Especificación","PIB_Socios_LP","TCR_LP","R2_Ajustado","Validez_Economica"
"Modelo Original",5.7775,-0.3429,0.8945,"Problemática"
"Modelo Corregido",5.9208,-0.1489,0.897,"Aceptable"
